Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,118.5,118.5,118.5,118.5,0.0,69.5605239868164
2000-01-04,119.25,117.0,117.0,118.5,0.0,69.5605239868164
2000-01-05,120.0,115.0,117.0,117.5,0.0,68.9735107421875
2000-01-06,117.5,114.5,116.0,116.5,0.0,68.38648223876953
2000-01-07,117.25,115.0,115.0,116.0,0.0,68.0929946899414
2000-01-10,118.56999969482422,115.0,115.0,118.0,0.0,69.26701354980469
2000-01-11,121.0,117.0,117.0,119.0,0.0,69.85400390625
2000-01-12,121.0,117.0,118.0,119.0,2272670.0,69.85400390625
2000-01-13,119.0,117.0,118.0,119.0,0.0,69.85400390625
2000-01-14,119.0,117.0,118.0,119.0,360910.0,69.85400390625
2000-01-17,121.0,117.0,117.0,119.0,0.0,69.85400390625
2000-01-18,120.0,117.0,118.0,119.0,0.0,69.85400390625
2000-01-19,120.5,118.0,118.75,119.5,0.0,70.14750671386719
2000-01-20,120.5,114.0,118.5,119.0,0.0,69.85400390625
2000-01-21,120.0,116.0,118.0,118.0,249800.0,69.26701354980469
2000-01-24,117.5,115.0,115.0,117.5,0.0,68.9735107421875
2000-01-25,119.0,115.0,116.0,117.0,0.0,68.68000030517578
2000-01-26,119.0,113.0,116.0,115.0,0.0,67.50598907470703
2000-01-27,116.5,113.0,116.5,115.0,0.0,67.50598907470703
2000-01-28,115.0,113.0,113.0,115.0,0.0,67.50598907470703
2000-01-31,118.0,114.0,116.0,116.5,0.0,68.38648223876953
2000-02-01,118.0,114.0,117.25,116.0,0.0,68.0929946899414
2000-02-02,117.0,110.0,116.25,111.5,0.0,65.4514389038086
2000-02-03,114.25,110.0,110.5,113.5,0.0,66.62545013427734
2000-02-04,115.0,110.0,114.25,113.5,5255941.0,66.62545013427734
2000-02-07,114.5,110.0,114.5,112.5,0.0,66.03845977783203
2000-02-08,115.0,110.0,112.5,112.5,2829455.0,66.03845977783203
2000-02-09,115.0,109.0,114.0,112.5,1266528.0,66.03845977783203
2000-02-10,112.5,110.0,110.75,111.5,0.0,65.4514389038086
2000-02-11,113.0,110.0,110.0,111.5,0.0,65.4514389038086
2000-02-14,111.0,105.0,110.0,111.0,0.0,65.15796661376953
2000-02-15,109.5,102.80000305175781,107.0,105.0,3911225.0,61.63589096069336
2000-02-16,107.0,103.0,104.0,105.5,1079671.0,61.92938995361328
2000-02-17,107.0,104.0,104.94999694824219,105.5,10343655.0,61.92938995361328
2000-02-18,107.0,103.0,104.5,105.5,0.0,61.92938995361328
2000-02-21,105.0,102.0,105.0,104.0,0.0,61.04887008666992
2000-02-22,106.0,102.0,102.5,104.0,0.0,61.04887008666992
2000-02-23,105.0,100.5,102.75,103.5,0.0,60.75538635253906
