Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,168.5,168.5,168.5,168.5,0.0,61.12141418457031
2000-01-04,180.0,165.75,173.0,166.0,9669507.0,60.214576721191406
2000-01-05,168.0,157.5,157.5,162.0,3366132.0,58.763614654541016
2000-01-06,165.25,159.0,162.0,160.25,3488445.0,58.12882614135742
2000-01-07,166.0,159.0,166.0,161.25,8405400.0,58.49155807495117
2000-01-10,172.0,159.0,164.0,160.0,11243083.0,58.03812789916992
2000-01-11,162.0,152.5,160.0,153.25,10739303.0,55.589656829833984
2000-01-12,160.0,153.0,157.0,159.5,10062270.0,57.85676956176758
2000-01-13,166.0,150.0,160.0,153.5,10113236.0,55.68034362792969
2000-01-14,163.5,152.0,156.0,156.25,21900204.0,56.677860260009766
2000-01-17,160.0,155.0,156.8000030517578,155.5,7804503.0,56.405826568603516
2000-01-18,157.0,150.0,157.0,151.25,9416790.0,54.864192962646484
2000-01-19,170.0,140.0,150.0,144.25,16200351.0,52.32500457763672
2000-01-20,148.25,136.0,143.8800048828125,143.75,29999118.0,52.143653869628906
2000-01-21,155.0,142.0,143.5,153.5,55944032.0,55.68034362792969
2000-01-24,158.0,148.5,158.0,149.75,8792374.0,54.320091247558594
2000-01-25,155.0,146.75,155.0,148.75,9022462.0,53.95732879638672
2000-01-26,155.0,146.5,149.0,152.25,24849736.0,55.226932525634766
2000-01-27,153.0,149.0,150.0,150.5,12992775.0,54.59212875366211
2000-01-28,153.0,142.0,147.0,142.75,24231148.0,51.780921936035156
2000-01-31,147.0,140.0,142.0,146.75,22659048.0,53.231849670410156
2000-02-01,149.5,141.5,145.0,147.25,23880196.0,53.413230895996094
2000-02-02,148.8000030517578,139.0,147.3000030517578,142.0,29210648.0,51.508853912353516
2000-02-03,147.0,139.0,139.0,142.0,14333085.0,51.508853912353516
2000-02-04,144.5,133.75,144.25,134.75,11425790.0,48.87900161743164
2000-02-07,140.0,133.0,140.0,133.5,14341745.0,48.42559051513672
2000-02-08,145.0,133.5,133.5,139.5,24556084.0,50.602012634277344
2000-02-09,147.75,139.0,139.5,146.5,32157640.0,53.14118194580078
2000-02-10,149.0,139.0,148.0,142.25,13259809.0,51.59953308105469
2000-02-11,147.0,134.0,142.0,143.5,15503758.0,52.052955627441406
2000-02-14,146.0,136.25,139.0,139.25,20849264.0,50.51131820678711
2000-02-15,142.0,131.5,141.0,131.0,22336672.0,47.51872634887695
2000-02-16,138.0,131.0,132.0,135.5,19657032.0,49.15105438232422
2000-02-17,151.0,134.0,134.9499969482422,148.75,23627308.0,53.95732879638672
2000-02-18,155.0,146.3000030517578,152.5,150.0,21670210.0,54.410762786865234
2000-02-21,160.0,150.0,150.14999389648438,151.75,20659960.0,55.04554748535156
2000-02-22,157.0,141.0,152.0,143.0,21685916.0,51.87159729003906
2000-02-23,150.75,145.25,143.0,149.25,18258656.0,54.13869857788086
2000-02-24,155.0,147.5,155.0,149.5,18458806.0,54.22938537597656
2000-02-25,151.0,145.0,150.0,149.0,12602673.0,54.04802322387695
2000-02-28,174.0,149.0,174.0,151.5,8967047.0,54.954864501953125
2000-02-29,156.5,153.8000030517578,155.3000030517578,154.5,14139848.0,56.04309844970703
2000-03-01,162.0,154.0,155.75,157.75,21532544.0,57.22197723388672
2000-03-02,168.0,149.0,156.55999755859375,156.5,11789179.0,56.76854705810547
2000-03-03,167.0,150.5,167.0,153.25,8271791.0,55.589656829833984
2000-03-06,162.0,152.0,153.0,154.0,8479549.0,55.86172103881836
2000-03-07,165.75,145.0,155.5,146.0,4969168.0,52.95981216430664
2000-03-08,148.75,140.0,148.0,140.75,20699602.0,51.05543899536133
2000-03-09,149.75,139.25,145.0,148.0,11610524.0,53.68526840209961
2000-03-10,153.0,145.0,150.8000030517578,149.0,8697696.0,54.04802322387695
2000-03-13,164.0,139.0,164.0,143.5,7234391.0,52.052955627441406
2000-03-14,153.0,143.0,153.0,147.0,7045246.0,53.322540283203125
2000-03-15,156.0,141.0,141.0,155.0,15983800.0,56.22444534301758
2000-03-16,164.5,150.5,157.0,159.0,13517441.0,57.6754035949707
2000-03-17,165.0,154.0,165.0,155.25,15650819.0,56.31513977050781
2000-03-20,161.5,150.0,158.0,156.75,4737524.0,56.85923385620117
2000-03-21,159.0,153.0,156.10000610351562,155.5,7826862.0,56.405826568603516
2000-03-22,163.0,152.25,163.0,156.75,10451853.0,56.85923385620117
2000-03-23,158.0,153.3000030517578,154.5,155.5,7079024.0,56.405826568603516
2000-03-24,167.8000030517578,154.3000030517578,161.3000030517578,161.0,27507146.0,58.40088653564453
2000-03-27,168.0,156.0,163.24000549316406,162.25,13361173.0,58.85429382324219
2000-03-28,163.0,159.0,163.0,161.25,6962923.0,58.49155807495117
2000-03-29,167.0,157.5,163.25,158.75,16365867.0,57.58473205566406
2000-03-30,161.0,156.8000030517578,160.5,157.5,13351254.0,57.13130187988281
2000-03-31,163.0,154.0,154.0,162.75,13342843.0,59.035667419433594
2000-04-03,178.0,157.0,160.6999969482422,175.5,29156498.0,63.66059494018555
2000-04-04,187.0,159.0,175.0,180.75,24567520.0,65.56497192382812
2000-04-05,182.0,174.97999572753906,179.0,179.5,10320679.0,65.11151885986328
2000-04-06,181.5,167.5,180.75,172.75,17491126.0,62.663055419921875
2000-04-07,189.0,155.0,172.75,172.5,8560662.0,62.57236099243164
2000-04-10,175.0,170.5,171.0,173.75,10814157.0,64.0770263671875
2000-04-11,177.0,172.5,176.5,173.25,16488663.0,63.89264678955078
2000-04-12,174.75,163.0,172.5,166.0,14033939.0,61.21891403198242
2000-04-13,172.75,155.0,155.0,165.0,14936728.0,60.85013198852539
2000-04-14,166.25,157.0,166.0,159.75,8367420.0,58.91398620605469
2000-04-17,159.0,150.5,159.0,153.0,10277406.0,56.4246826171875
2000-04-18,158.25,147.0,153.1300048828125,151.75,6836225.0,55.96367645263672
2000-04-19,158.0,150.69000244140625,150.69000244140625,156.25,8395239.0,57.62321090698242
2000-04-20,165.0,153.5,165.0,157.5,5942749.0,58.08422088623047
2000-04-21,157.5,157.5,157.5,157.5,0.0,58.08422088623047
2000-04-24,157.5,157.5,157.5,157.5,0.0,58.08422088623047
2000-04-25,167.5,155.0,159.75,164.75,6561978.0,60.75794982910156
2000-04-26,172.0,163.25,167.5,169.25,13625983.0,62.41747283935547
2000-04-27,171.25,161.25,170.0,164.25,7078216.0,60.573543548583984
2000-04-28,172.3000030517578,163.0,165.5,167.5,5661957.0,61.7720947265625
2000-05-01,167.5,167.5,167.5,167.5,0.0,61.7720947265625
2000-05-02,174.0,166.5,172.0,170.25,5944761.0,62.7862663269043
2000-05-03,171.0,161.0,167.0,161.75,8492872.0,59.65155792236328
2000-05-04,163.0,158.5,160.5,160.0,4285894.0,59.00617599487305
2000-05-05,161.0,152.0,160.0,152.25,10553018.0,56.14808654785156
2000-05-08,160.75,150.0,153.35000610351562,159.75,6547654.0,58.91398620605469
2000-05-09,165.0,155.8000030517578,165.0,158.0,8877982.0,58.26862716674805
2000-05-10,163.8000030517578,156.0,158.0,162.5,11887361.0,59.92816162109375
2000-05-11,173.0,155.5,158.33999633789062,170.75,7996300.0,62.97068405151367
2000-05-12,175.0,169.0,170.0,173.25,14589232.0,63.89264678955078
2000-05-15,173.8000030517578,168.0,170.0,172.0,6673949.0,63.431640625
2000-05-16,175.5,169.0,169.5,175.0,3828107.0,64.53802490234375
2000-05-17,174.5,168.0,172.0,171.25,5248660.0,63.15507125854492
2000-05-18,172.0,167.0,167.0,171.25,6114540.0,63.15507125854492
2000-05-19,172.3000030517578,168.0,168.0,168.5,6365818.0,62.140892028808594
2000-05-22,172.25,160.75,172.0,162.0,14085048.0,59.74375534057617
2000-05-23,166.0,162.0,165.0,164.0,6336229.0,60.481327056884766
2000-05-24,167.75,158.0,165.0,166.75,19328410.0,61.4954948425293
2000-05-25,168.5,161.0,164.3000030517578,166.0,9113212.0,61.21891403198242
2000-05-26,170.75,164.0,165.0,168.75,9222460.0,62.23307800292969
2000-05-29,168.8000030517578,168.8000030517578,168.8000030517578,168.8000030517578,0.0,62.25154495239258
2000-05-30,170.0,169.0,170.0,170.0,7386767.0,62.69407272338867
2000-05-31,168.0,168.0,168.0,168.0,0.0,61.95649719238281
2000-06-01,171.3000030517578,170.0,171.0,171.0,10153844.0,63.062862396240234
2000-06-02,172.0,171.5,172.0,172.0,11249190.0,63.431640625
2000-06-05,173.6999969482422,172.5,172.5,172.5,12308596.0,63.61603546142578
2000-06-06,177.10000610351562,170.3000030517578,170.3000030517578,175.0,34627920.0,64.53802490234375
2000-06-07,178.5,170.3000030517578,173.0,178.0,23587266.0,65.6443862915039
2000-06-08,179.0,169.0,175.0,171.25,17436360.0,63.15507125854492
2000-06-09,173.0,169.25,169.25,169.25,8573644.0,62.41747283935547
2000-06-12,174.5,168.0,173.5,172.0,9619638.0,63.431640625
2000-06-13,174.0,166.0,174.0,170.0,14767023.0,62.69407272338867
2000-06-14,170.75,166.25,170.0,170.0,19269168.0,62.69407272338867
2000-06-15,180.0,166.0,168.91000366210938,175.0,26066308.0,64.53802490234375
2000-06-16,178.0,168.0,178.0,172.25,13278677.0,63.52384948730469
2000-06-19,174.0,167.3000030517578,170.39999389648438,172.5,15407419.0,63.61603546142578
2000-06-20,173.8000030517578,168.0,169.0,171.5,5528603.0,63.24726486206055
2000-06-21,172.0,164.3000030517578,169.0,167.0,8756693.0,61.587703704833984
2000-06-22,169.0,161.0,161.0,164.0,9148177.0,60.481327056884766
2000-06-23,170.5,164.8000030517578,166.5,168.0,7728016.0,61.95649719238281
2000-06-26,170.5,166.5,170.0,167.5,3646756.0,61.7720947265625
2000-06-27,170.0,159.0,170.0,160.0,26767128.0,59.00617599487305
2000-06-28,163.0,157.3000030517578,159.5,158.0,19687740.0,58.26862716674805
2000-06-29,162.0,157.3000030517578,160.3000030517578,159.0,12496509.0,58.637393951416016
2000-06-30,163.5,154.5,160.0,154.5,10510432.0,56.97787094116211
2000-07-03,163.75,155.0,155.0,162.75,21982242.0,60.02035140991211
2000-07-04,168.0,160.89999389648438,163.1999969482422,166.0,22374324.0,61.21891403198242
2000-07-05,169.0,160.0,169.0,163.0,16951322.0,60.112552642822266
2000-07-06,163.0,158.8000030517578,163.0,160.5,11610062.0,59.190589904785156
2000-07-07,169.0,155.0,155.0,162.0,18343028.0,59.74375534057617
2000-07-10,164.0,158.0,158.0,161.0,8458725.0,59.37497329711914
2000-07-11,164.0,157.0,161.0,157.0,9026465.0,57.89982604980469
2000-07-12,167.3000030517578,157.0,157.0,164.0,24690260.0,60.481327056884766
2000-07-13,169.8000030517578,164.0,164.0,167.0,49510432.0,61.587703704833984
2000-07-14,171.0,167.0,167.0,167.0,33035044.0,61.587703704833984
2000-07-17,171.5,169.0,169.0,171.5,28881378.0,63.24726486206055
2000-07-18,174.5,169.5,172.0,171.5,16969730.0,63.24726486206055
2000-07-19,175.0,168.0,170.0,171.5,13379454.0,63.24726486206055
2000-07-20,175.0,170.0,171.5,171.5,16174619.0,63.24726486206055
2000-07-21,174.0,165.0,170.3000030517578,166.0,15051605.0,61.21891403198242
2000-07-24,173.0,166.0,172.5,166.0,16623766.0,61.21891403198242
2000-07-25,172.25,162.5,171.0,163.0,14334575.0,60.112552642822266
2000-07-26,169.0,164.0,165.0,166.75,19335304.0,61.4954948425293
2000-07-27,172.0,166.9199981689453,166.9199981689453,169.2100067138672,32015168.0,62.40274429321289
2000-07-28,172.0,168.3000030517578,170.8000030517578,170.5,14626280.0,62.87845993041992
2000-07-31,172.8000030517578,168.0,171.8000030517578,171.5,8242841.0,63.24726486206055
2000-08-01,172.0,166.8000030517578,171.5,172.0,4825242.0,63.431640625
2000-08-02,171.0,165.0,165.0,168.0,10247184.0,61.95649719238281
2000-08-03,171.0,165.3000030517578,168.8000030517578,169.5,10174794.0,62.509681701660156
2000-08-04,172.0,167.8000030517578,168.39999389648438,171.5,15058185.0,63.24726486206055
2000-08-07,173.0,170.8000030517578,172.0,172.0,8807183.0,63.431640625
2000-08-08,174.0,170.0,170.0,172.0,13660205.0,63.431640625
2000-08-09,175.0,171.0,171.0,174.75,10163795.0,64.44580841064453
2000-08-10,177.0,171.0,174.0,176.75,7501734.0,65.18340301513672
2000-08-11,178.8000030517578,172.0,172.0,178.5,16193680.0,65.82877349853516
2000-08-14,182.0,170.0,177.39999389648438,182.0,7563941.0,67.11953735351562
2000-08-15,184.0,175.5,180.38999938964844,177.25,23133796.0,65.36779022216797
2000-08-16,188.3000030517578,176.0,178.5,183.5,27529580.0,67.67271423339844
2000-08-17,186.5,176.0,186.5,180.0,16468067.0,66.38194274902344
2000-08-18,184.0,176.5,180.0,180.0,12343726.0,66.38194274902344
2000-08-21,180.0,175.0,180.0,178.0,6370193.0,65.6443862915039
2000-08-22,183.0,176.0,178.5,182.5,19847052.0,67.30393981933594
